id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcwales_3,"Repair Cafe Wales",GBR,"Electrical ~ Iron",Iron,40,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Iron Broken"
rcwales_4,"Repair Cafe Wales",GBR,Electrical,Misc,18,Unknown,,,Repairable,,"Cardiff Cathays",2017-04-01,"Stops working intermittently"
rcwales_5,"Repair Cafe Wales",GBR,"Electrical ~ TV","Flat screen",8,Unknown,,,Repairable,,"Cardiff Cathays",2017-04-01,"TV stopped working - on/off button"
rcwales_6,"Repair Cafe Wales",GBR,Electrical,Misc,18,Unknown,,,Unknown,,"Cardiff Cathays",2017-04-01,"not heating"
rcwales_7,"Repair Cafe Wales",GBR,"Other ~ Guitar pedal",Misc,18,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Guitar pedal Doesn't turn on"
rcwales_11,"Repair Cafe Wales",GBR,"Electrical ~ Garden Shredder","Paper shredder",21,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Garden Shredder wont switch on!"
rcwales_12,"Repair Cafe Wales",GBR,"Electrical ~ Hedge Trimmer","Large home electrical",17,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Hedge Trimmer Dodggy switch on hedgecutter"
rcwales_15,"Repair Cafe Wales",GBR,"Electrical ~ Hair straightners","Hair & beauty item",9,Unknown,,,Unknown,,"Cardiff Cathays",2017-04-01,"Hair straightners not working"
rcwales_16,"Repair Cafe Wales",GBR,"Electrical ~ strimmer","Large home electrical",17,Unknown,,,Repairable,,"Cardiff Cathays",2017-04-01,"strimmer "
rcwales_17,"Repair Cafe Wales",GBR,"Electrical ~ Lamp",Lamp,15,Unknown,,,Repairable,,"Cardiff Cathays",2017-04-01,"Lamp Bulb fitting"
rcwales_18,"Repair Cafe Wales",GBR,Electrical,Misc,18,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Not working"
rcwales_19,"Repair Cafe Wales",GBR,"IT/Phone ~ Printer","Printer / scanner",25,Unknown,,,Fixed,,"Cardiff Cathays",2017-04-01,"Printer is not feeding paper through or printing"
rcwales_20,"Repair Cafe Wales",GBR,"IT/Phone ~ tablet",Tablet,30,Unknown,,,"End of life",,"Cardiff Cathays",2017-04-01,"tablet Screen replace but now not working"
rcwales_21,"Repair Cafe Wales",GBR,"IT/Phone ~ tablet",Tablet,30,Unknown,,,Unknown,,"Cardiff Cathays",2017-04-01,"tablet Broken screen"
rcwales_22,"Repair Cafe Wales",GBR,"Other ~ watch","Watch / clock",35,Unknown,,,Unknown,,"Cardiff Cathays",2017-04-01,"watch strap loose"
rcwales_23,"Repair Cafe Wales",GBR,"Electrical ~ Radio","Portable radio",23,Unknown,,,Repairable,,"Cardiff Cathays",2017-04-01,"Radio Batteries leaked"
